IATA,CITY,STATE
COS,Colorado Springs,CO
COU,Columbia,MO
CPR,Casper,WY
CRP,Corpus Christi,TX
CRW,Charleston,WV
CSG,Columbus,GA
CWA,Mosinee,WI
CYS,Cheyenne,WY
DAB,Daytona Beach,FL
DAY,Dayton,OH
DBQ,Dubuque,IA
DHN,Dothan,AL
DIK,Dickinson,ND
DLG,Dillingham,AK
DLH,Duluth,MN
DRO,Durango,CO
DRT,Del Rio,TX
DSM,Des Moines,IA
DVL,Devils Lake,ND
EAU,Eau Claire,WI
EGE,Eagle,CO
EKO,Elko,NV
ELM,Elmira,NY
ERI,Erie,PA
ESC,Escanaba,MI
EUG,Eugene,OR
EVV,Evansville,IN
EWN,New Bern,NC
EYW,Key West,FL
FAI,Fairbanks,AK
FAR,Fargo,ND
FAT,Fresno,CA
FAY,Fayetteville,NC
FCA,Kalispell,MT
FLG,Flagstaff,AZ
FLO,Florence,SC
FNT,Flint,MI
FOE,Topeka,KS
FSD,Sioux Falls,SD
FSM,Fort Smith,AR
FWA,Fort Wayne,IN
GCC,Gillette,WY
GCK,Garden City,KS
GEG,Spokane,WA
GFK,Grand Forks,ND
GGG,Longview,TX
GJT,Grand Junction,CO
GNV,Gainesville,FL
GPT,Gulfport-Biloxi,MS
GRB,Green Bay,WI
GRI,Grand Island,NE
GRK,Killeen,TX
GRR,Grand Rapids,MI
GSO,Greensboro,NC
GSP,Greer,SC
GST,Gustavus,AK
GTF,Great Falls,MT
GTR,Columbus-Starkville-West Point,MS
GUC,Gunnison,CO
GUM,Agana,GU
HDN,Hayden,CO
HIB,Hibbing,MN
HLN,Helena,MT
HOB,Hobbs,NM
HPN,White Plains,NY
HRL,Harlingen,TX
HSV,Huntsville,AL
HTS,Huntington,WV
HYA,Hyannis,MA
HYS,Hays,KS
ICT,Wichita,KS
IDA,Idaho Falls,ID
ILG,Wilmington,DE
ILM,Wilmington,NC
IMT,Iron Mountain Kingsford,MI
INL,International Falls,MN
IPL,Imperial,CA
ISN,Williston,ND
ISP,Islip,NY
ITH,Ithaca,NY
ITO,Hilo,HI
IYK,Inyokern,CA
JAC,Jackson,WY
JAN,Jackson,MS
JLN,Joplin,MO
JMS,Jamestown,ND
JNU,Juneau,AK
KOA,Kailua Kona,HI
KTN,Ketchikan,AK
LAN,Lansing,MI
LAR,Laramie,WY
LAW,Lawton,OK
LBB,Lubbock,TX
LCH,Lake Charles,LA
LEX,Lexington,KY
LFT,Lafayette,LA
LGB,Long Beach,CA
LIH,Lihue,HI
LMT,Klamath Falls,OR
LNK,Lincoln,NE
LRD,Laredo,TX
LSE,La Crosse,WI
LWB,Lewisburg,WV
LWS,Lewiston,ID
LYH,Lynchburg,VA
MAF,Midland,TX
MBS,Saginaw,MI
MCN,Macon,GA
MDT,Harrisburg,PA
MEI,Meridian,MS
MFE,McAllen,TX
MFR,Medford,OR
MGM,Montgomery,AL
MHK,Manhattan,KS
MHT,Manchester,NH
MKG,Muskegon,MI
MLB,Melbourne,FL
MLI,Moline,IL
MLU,Monroe,LA
MMH,Mammoth Lakes,CA
MOB,Mobile,AL
MOD,Modesto,CA
MOT,Minot,ND
MQT,NA,NA
MRY,Monterey,CA
MSN,Madison,WI
MSO,Missoula,MT
MTJ,Montrose,CO
MVY,Marthas Vineyard,MA
MWH,Moses Lake,WA
MYR,Myrtle Beach,SC
OAJ,Jacksonville,NC
OME,Nome,AK
ORH,Worcester,MA
OTH,North Bend,OR
OTZ,Kotzebue,AK
OXR,Oxnard,CA
PAH,Paducah,KY
PFN,Panama City,FL
PHF,Newport News,VA
PIA,Peoria,IL
PIB,Hattiesburg-Laurel,MS
PIE,St. Petersburg,FL
PIH,Pocatello,ID
PIR,Pierre,SD
PLN,Pellston,MI
PNS,Pensacola,FL
PPG,Pago Pago,AS
PSC,Pasco,WA
PSE,Ponce,PR
PSG,Petersburg,AK
PSP,Palm Springs,CA
PUB,Pueblo,CO
PWM,Portland,ME
RAP,Rapid City,SD
RDD,Redding,CA
RDM,Redmond,OR
RFD,Rockford,IL
RHI,Rhinelander,WI
RKS,Rock Springs,WY
ROA,Roanoke,VA
ROC,Rochester,NY
ROW,Roswell,NM
RST,Rochester,MN
SAF,Santa Fe,NM
SAV,Savannah,GA
SBA,Santa Barbara,CA
SBN,South Bend,IN
SBP,San Luis Obispo,CA
SCC,Deadhorse,AK
SCE,NA,NA
SGF,Springfield,MO
SGU,St George,UT
SHD,Staunton Harrisonburg,VA
SHV,Shreveport,LA
SIT,Sitka,AK
SJT,San Angelo,TX
SMX,Santa Maria,CA
SPI,Springfield,IL
SPN,NA,NA
SPS,Wichita Falls,TX
SRQ,Sarasota,FL
STC,St Cloud,MN
STT,Charlotte Amalie,VI
STX,Christiansted,VI
SUN,Hailey,ID
SUX,Sioux City,IA
SWF,Newburgh,NY
SYR,Syracuse,NY
TEX,Telluride,CO
TLH,Tallahassee,FL
TOL,Toledo,OH
TRI,Bristol,TN
TTN,Trenton,NJ
TUP,Tupelo,MS
TVC,Traverse City,MI
TWF,Twin Falls,ID
TXK,Texarkana,AR
TYR,Tyler,TX
TYS,Knoxville,TN
VEL,Vernal,UT
VLD,Valdosta,GA
VPS,Valparaiso,FL
WRG,Wrangell,AK
WYS,West Yellowstone,MT
XNA,Fayetteville Springdale Rogers,AR
YAK,Yakutat,AK
YUM,Yuma,AZ
